Variable,Coefficient,Std_Error,t_statistic,P_Value,R_squared
VPD,0.05577473003719374,0.009419439641732169,5.921236523464485,3.4796554666251948e-09,0.009178136574686246
Wind,0.08204374969634906,0.01334415837071874,6.1482895673944284,8.644546646718821e-10,0.009888419514990976
Dryness,0.21926604107113287,0.03447310733090731,6.360495413610338,2.2507240374288995e-10,0.010575445892970659
CE,0.23071145488531858,0.028555771798831585,8.07932828818721,8.67499582290216e-16,0.01695347380088008
PCE,0.4374326267305839,0.05326575795919522,8.212267007740389,2.946535897083638e-16,0.017506127579836828
