Threshold,Variable,Coefficient,Std_Error,t_statistic,P_Value,R_squared
0.0,VPD,0.04660353162876373,0.005394198040012604,8.639566304958066,8.193091779006781e-18,0.01933912624254286
0.0,Wind,0.05141017606226458,0.007572382383283468,6.789167987046708,1.3040577141808012e-11,0.012031241303474216
0.0,Dryness,0.21926604107113287,0.03447310733090731,6.360495413610338,2.2507240374288995e-10,0.010575445892970659
0.0,CE,0.13200441325513507,0.010794691005206797,12.228642134495837,9.397517908781467e-34,0.038006908125087224
0.0,PCE,0.2679281074300532,0.025099974623059605,10.674437383052368,3.1539250572954533e-26,0.0292242270577584
0.5,VPD,0.05090780095209633,0.006941790004911864,7.333526499083816,2.7278121784606347e-13,0.014009816231716932
0.5,Wind,0.06148920442896968,0.009833636306943585,6.252946774689217,4.475363050361407e-10,0.010224458063547326
0.5,Dryness,0.21926604107113287,0.03447310733090731,6.360495413610338,2.2507240374288995e-10,0.010575445892970659
0.5,CE,0.1751906947590378,0.017556883455137014,9.978462020705521,3.6512578794517585e-23,0.025632106482341488
0.5,PCE,0.35228784344606157,0.03593037575785178,9.804735854149172,1.9825610124746892e-22,0.02476927459189804
1.0,VPD,0.05577473003719374,0.009419439641732169,5.921236523464485,3.4796554666251948e-09,0.009178136574686246
1.0,Wind,0.08204374969634906,0.01334415837071874,6.1482895673944284,8.644546646718821e-10,0.009888419514990976
1.0,Dryness,0.21926604107113287,0.03447310733090731,6.360495413610338,2.2507240374288995e-10,0.010575445892970659
1.0,CE,0.23071145488531858,0.028555771798831585,8.07932828818721,8.67499582290216e-16,0.01695347380088008
1.0,PCE,0.4374326267305839,0.05326575795919522,8.212267007740389,2.946535897083638e-16,0.017506127579836828
1.5,VPD,0.06057583622226342,0.013079894785491089,4.631217392471485,3.7573628204921533e-06,0.005634695010380164
1.5,Wind,0.10990742260158753,0.018667385664516672,5.887670859583819,4.257393945948956e-09,0.00907531711876064
1.5,Dryness,0.21926604107113287,0.03447310733090731,6.360495413610338,2.2507240374288995e-10,0.010575445892970659
1.5,CE,0.2795631274541972,0.0468872025290748,5.962461234082793,2.712087417208756e-09,0.009305187782948199
1.5,PCE,0.5450504122381855,0.08030319330724486,6.787406450361067,1.3198800797179984e-11,0.01202507386042484
2.0,VPD,0.05940433217839322,0.017776603642768958,3.3417143888763756,0.000840705701699372,0.002941665868457677
2.0,Wind,0.1451714838295505,0.0262925427212746,5.521393855607775,3.589141108476034e-08,0.007990015370460513
2.0,Dryness,0.21926604107113287,0.03447310733090731,6.360495413610338,2.2507240374288995e-10,0.010575445892970659
2.0,CE,0.1999634917401422,0.07467194282027642,2.6778932513035416,0.007440680020859125,0.001891030771840052
2.0,PCE,0.5337955586172026,0.12364000126386898,4.317337052415515,1.6196657515721647e-05,0.0049004117551100235
