Event_ID,irwinID,Incid_Name,Incid_Type,Map_ID,Map_Prog,Asmnt_Type,BurnBndAc,BurnBndLat,BurnBndLon,Ig_Date,Pre_ID,Post_ID,Perim_ID,dNBR_offst,dNBR_stdDv,NoData_T,IncGreen_T,Low_T,Mod_T,High_T,Comment,State,Lat,Lon,SPEI3,VPD_exp_7,Wind_exp_7,CE_AND_7,CE_OR_7,CE_days_7,VPD_exp_14,Wind_exp_14,CE_AND_14,CE_OR_14,CE_days_14,VPD_exp_21,Wind_exp_21,CE_AND_21,CE_OR_21,CE_days_21,VPD_exp_30,Wind_exp_30,CE_AND_30,CE_OR_30,CE_days_30,Drought,PCE_VPD,PCE_Wind,SPEI12_deficit,VPD_exp_7_binary,Wind_exp_7_binary,CE_AND_7_binary,VPD_exp_7_t0,Wind_exp_7_t0,CE_AND_7_t0,VPD_exp_7_t00,Wind_exp_7_t00,CE_AND_7_t00,VPD_exp_7_t05,Wind_exp_7_t05,CE_AND_7_t05,VPD_exp_7_t10,Wind_exp_7_t10,CE_AND_7_t10,VPD_exp_7_t15,Wind_exp_7_t15,CE_AND_7_t15,VPD_exp_7_t20,Wind_exp_7_t20,CE_AND_7_t20
CA3599412057519850706,,BIG SANDY,Wildfire,4781,MTBS,Extended,3139,35.994,-120.575,1985-07-06,504303519840730,504303519860720,504303519850802.0,6,-9999,-970,-150,90,187,340,,CA,35.994,-120.575,-0.4935764074325561,3.169004440307617,0.0,0.0,3.169004440307617,0.0,3.929903268814087,0.5277328491210938,0.0,4.457636117935181,0.0,3.929903268814087,0.5277328491210938,0.0,4.457636117935181,0.0,3.929903268814087,1.055188775062561,0.0,4.985092043876648,0.0,0.0,0.0,0.0,0.6894049048423767,1,0,0,9.498571157455444,0.8258315324783325,1.2160617394987645,9.498571157455444,0.8258315324783325,1.2160617394987643,6.045103073120117,0.3258315324783325,0.6484956955297859,3.169004440307617,0.0,0.0,1.3756790161132812,0.0,0.0,0.09037494659423828,0.0,0.0
CA3603712055919850706,,ANDREWS,Wildfire,4782,MTBS,Extended,5071,36.037,-120.559,1985-07-06,504303519840730,504303519860720,504303519850802.0,38,-9999,-970,-150,130,294,510,,CA,36.037,-120.559,-0.4961128234863281,3.169004440307617,0.0,0.0,3.169004440307617,0.0,3.929903268814087,0.5277328491210938,0.0,4.457636117935181,0.0,3.929903268814087,0.5277328491210938,0.0,4.457636117935181,0.0,3.929903268814087,1.055188775062561,0.0,4.985092043876648,0.0,0.0,0.0,0.0,0.5484995245933533,1,0,0,9.498571157455444,0.8258315324783325,1.2160617394987645,9.498571157455444,0.8258315324783325,1.2160617394987643,6.045103073120117,0.3258315324783325,0.6484956955297859,3.169004440307617,0.0,0.0,1.3756790161132812,0.0,0.0,0.09037494659423828,0.0,0.0
CA4030512015819850519,,SKEDADDLE,Wildfire,4783,MTBS,Initial,1358,40.305,-120.158,1985-05-19,504303219840628,504303219850615,,50,-9999,-970,-150,50,205,400,0,CA,40.305,-120.158,-1.2793627977371216,0.0,0.0,0.0,0.0,0.0,0.0,1.188984990119934,0.0,1.188984990119934,0.0,0.0,1.5732574462890625,0.0,1.5732574462890625,0.0,5.4340516328811646,1.5732574462890625,0.0,7.007309079170227,0.0,0.2793627977371216,0.0,0.0,0.6690292358398438,0,0,0,3.3442919701337814,0.8642956912517548,0.8598392719320209,3.3442919701337814,0.8642956912517548,0.8598392719320209,0.790084183216095,0.04568350315093994,0.038226640116854844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA4034312052019850807,,BASS HILL,Wildfire,4785,MTBS,Extended,2495,40.343,-120.52,1985-08-07,504403219840907,504403219860812,,-17,-9999,-970,-150,1,268,550,Bass Hill  Perimeter from Aug 25  1985 image,CA,40.343,-120.52,-1.2814277410507202,0.0,3.604299664497375,0.0,3.604299664497375,0.0,0.0,3.672303080558777,0.0,3.672303080558777,0.0,0.0737484693527221,4.250103831291199,0.0,4.323852300643921,0.0,0.0737484693527221,7.204125761985779,0.0,7.277874231338501,0.0,0.2814277410507202,0.0,1.0071493993690137,1.229878306388855,0,1,0,0.2080925330519676,8.127592459321022,0.9358999304954948,0.20809253305196762,8.127592459321022,0.9358999304954949,0.0,5.6042996644973755,0.0,0.0,3.6042996644973755,0.0,0.0,1.6693099737167358,0.0,0.0,0.2640419006347656,0.0
CA3985112177219850611,,ROCK CREEK,Wildfire,4786,MTBS,Initial,1169,39.851,-121.772,1985-06-11,504403219840907,504403219850825,,25,-9999,-970,-150,90,355,650,Rock Creek,CA,39.851,-121.772,-1.7311744689941406,7.536572337150574,0.0,0.0,7.536572337150574,0.0,7.536572337150574,0.6517658233642578,0.0,8.188338160514832,0.0,7.536572337150574,3.302371859550476,0.0,10.83894419670105,0.0,7.801436901092529,4.280081868171692,0.0,12.08151876926422,0.0,0.7311744689941406,2.347455915805875,0.0,1.0244380235671997,1,0,0,14.536572337150574,2.9724187441170216,5.676417097563244,14.536572337150574,2.9724187441170216,5.676417097563244,11.036572337150574,0.786268413066864,1.8339688565111576,7.536572337150574,0.0,0.0,4.036572337150574,0.0,0.0,1.2712156772613525,0.0,0.0
CA3844612209319850831,,MILLER,Wildfire,4787,MTBS,Extended,2027,38.446,-122.093,1985-08-31,504403319840705,504403319860711,,-33,-9999,-970,-150,60,273,520,,CA,38.446,-122.093,0.0298596378415823,0.0,3.830321669578552,0.0,3.830321669578552,0.0,0.0,5.221057653427124,0.0,5.221057653427124,0.0,0.0,6.907157301902771,0.0,6.907157301902771,0.0,0.0,6.907157301902771,0.0,6.907157301902771,0.0,0.0,0.0,0.0,0.4354039132595062,0,1,0,0.8419724404811859,7.98724964261055,0.8759926726924344,0.8419724404811859,7.98724964261055,0.8759926726924344,0.04527914524078369,5.830321669578552,0.0,0.0,3.8303216695785522,0.0,0.0,2.2434616088867188,0.0,0.0,1.1532208919525146,0.0
CA3976912001319850708,,HAL JNCT 2,Wildfire,4840,MTBS,Initial,2427,39.769,-120.013,1985-07-08,504303219840714,504303219850717,,20,-9999,-970,-150,80,162,300,,CA,39.769,-120.013,-1.5079883337020874,0.1969590187072754,0.0,0.0,0.1969590187072754,0.0,0.1969590187072754,0.2048516273498535,0.0,0.4018106460571289,0.0,0.1969590187072754,0.2048516273498535,0.0,0.4018106460571289,0.0,0.1969590187072754,1.9795910120010376,0.0,2.176550030708313,0.0,0.5079883337020874,0.3163113714691697,0.0,1.0134872198104858,1,0,0,2.304888501763344,0.0,0.0,2.304888501763344,0.0,0.0,0.7128978371620178,0.0,0.0,0.1969590187072754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4226711892419850619,,LOUIS FLAT,Wildfire,4895,MTBS,Initial,2727,42.267,-118.924,1985-06-19,504303119840714,504303119850717,,75,-9999,-970,-150,85,175,320,,OR,42.267,-118.924,-1.5095977783203125,1.68834388256073,1.9635038375854492,0.0,3.651847720146179,0.0,1.68834388256073,1.9635038375854492,0.0,3.651847720146179,0.0,1.834602952003479,4.425908207893372,0.3973857706912861,6.260511159896851,1.0,1.834602952003479,4.425908207893372,0.3973857706912861,6.260511159896851,1.0,0.5095977783203125,0.9275647101920376,1.0002985521117946,0.0931623950600624,1,1,0,6.190942108631134,4.914085865020752,2.1653201551878336,6.190942108631134,4.914085865020752,2.1653201551878336,3.690942108631134,2.963503837585449,0.6896920141632877,1.68834388256073,1.9635038375854492,0.0,0.8647003173828125,0.9635038375854492,0.0,0.3647003173828125,0.10304403305053711,0.0
OR4386411835919850707,,ALTNOW,Wildfire,4896,MTBS,Initial,1549,43.864,-118.359,1985-07-07,504303019840730,504303019850717,,19,-9999,-970,-150,60,252,480,,OR,43.864,-118.359,-1.0752627849578855,1.680747389793396,1.319948673248291,1.2179517653892558,3.000696063041687,2.0,2.1835479736328125,1.319948673248291,1.2179517653892558,3.5034966468811035,2.0,2.543840527534485,1.319948673248291,1.2179517653892558,3.863789200782776,2.0,2.543840527534485,1.319948673248291,1.2179517653892558,3.863789200782776,2.0,0.0752627849578855,0.3556651927959043,0.315187266795682,0.38283371925354,1,1,1,6.6183249950408936,3.496482640504837,3.6998466560132894,6.6183249950408936,3.496482640504837,3.6998466560132894,4.1183249950408936,2.319948673248291,2.220108425332667,1.680747389793396,1.319948673248291,1.2179517653892558,0.2796248197555542,0.38157737255096436,0.32664736953228535,0.0,0.0,0.0
OR4329211841119850707,,CRANECREEK,Wildfire,4897,MTBS,Extended,1180,43.292,-118.411,1985-07-07,504303019840730,504303019860720,504303019850717.0,19,-9999,-970,-150,75,150,280,,OR,43.292,-118.411,-1.0284593105316162,0.3167108297348022,0.6975682973861694,0.2326293542066198,1.0142791271209717,1.0,0.722859263420105,0.6975682973861694,0.2326293542066198,1.4204275608062744,1.0,1.018863081932068,1.610764741897583,0.2326293542066198,2.629627823829651,1.0,1.018863081932068,1.971579670906067,0.2326293542066198,2.9904427528381348,1.0,0.0284593105316162,0.0949387794957812,0.1408982355898178,0.2400959134101867,1,1,1,5.44143521762453,1.6975682973861694,1.3525026349884672,5.44143521762453,1.6975682973861694,1.3525026349884672,2.6197609901428223,1.1975682973861694,0.8316789627282081,0.31671082973480225,0.6975682973861694,0.23262935420661984,0.0,0.19756829738616943,0.0,0.0,0.0,0.0
OR4271411849019850707,,BUSTERMANN,Wildfire,4898,MTBS,Initial,9109,42.724,-118.492,1985-07-07,504303019840730,504303019850717,,12,0,-970,-150,86,435,9999,,OR,42.724,-118.492,-1.032787561416626,0.1756191253662109,0.6698216199874878,0.0,0.8454407453536987,0.0,0.3580378293991089,0.6698216199874878,0.0,1.027859449386597,0.0,0.442085862159729,0.6698216199874878,0.0,1.1119074821472168,0.0,0.442085862159729,2.2269420623779297,0.0,2.6690279245376587,0.0,0.0327875614166259,0.075882296083334,0.1481952006764175,0.2512242794036865,1,1,0,4.6215122528374195,2.50787153840065,2.5276571070972853,4.6215122528374195,2.50787153840065,2.5276571070972853,2.097018241882324,1.1723767518997192,0.7459584884256337,0.17561912536621094,0.6698216199874878,0.0,0.0,0.1698216199874878,0.0,0.0,0.0,0.0
OR4307411891319850707,,JACKASS,Wildfire,4899,MTBS,Initial,6860,43.074,-118.913,1985-07-07,504303019840730,504303019850717,,17,-9999,-970,-150,75,133,250,,OR,43.074,-118.913,-0.9700061678886414,0.2044395208358764,0.8062077760696411,0.1306063409496131,1.0106472969055176,1.0,0.5411210060119629,0.8818671703338623,0.1306063409496131,1.4229881763458252,1.0,0.7713127136230469,1.2350144386291504,0.1306063409496131,2.0063271522521973,1.0,0.7713127136230469,2.3061317205429077,0.1306063409496131,3.0774444341659546,1.0,0.0,0.0,0.0,0.2970794439315796,1,1,1,5.523991227149963,2.7519958168268204,2.6030894365173416,5.523991227149963,2.7519958168268204,2.6030894365173416,2.3799771666526794,1.614875853061676,1.1662428160066196,0.20443952083587646,0.8062077760696411,0.13060634094961313,0.0,0.3062077760696411,0.0,0.0,0.0,0.0
OR4278811916519850707,,ROCK CR 2,Wildfire,4900,MTBS,Initial,7791,42.788,-119.165,1985-07-07,504303019840730,504303019850717,,28,-9999,-970,-150,70,193,365,,OR,42.788,-119.165,-0.9250173568725586,0.0087113380432128,1.1039185523986816,0.0,1.1126298904418943,0.0,0.2096701860427856,1.1039185523986816,0.0,1.3135887384414673,0.0,0.3526369333267212,1.4803582429885864,0.0,1.8329951763153076,0.0,0.3526369333267212,3.0223392248153687,0.0,3.37497615814209,0.0,0.0,0.0,0.0,0.7567430734634399,1,1,0,4.668481767177582,3.5371108055114746,2.9529553359793357,4.668481767177582,3.5371108055114746,2.9529553359793357,1.6433430910110474,2.1039185523986816,1.049895326027439,0.00871133804321289,1.1039185523986816,0.0,0.0,0.4458303451538086,0.0,0.0,0.0,0.0
